AgeMa,surfaceTemperature
0.0016,14.24
0.0024,14.37
0.0032,14.37
0.004,14.02
0.0048,13.83
0.0054,14.04
0.0062,14
0.007,13.93
0.0078,14.2
0.0086,14.28
0.0096,13.46
0.0104,13.21
0.0112,12.84
0.0118,12.68
0.0128,11.97
0.0136,11.76
0.0148,10.92
0.016,10.64
0.017,9.72
0.0176,9.49
0.0184,9.35
0.0188,9.56
0.0195,9.46
0.0205,9.83
0.0217,9.69
0.0225,9.9
0.0237,9.83
0.0248,9.96
0.0258,9.94
0.0266,10.14
0.0278,10.33
0.0287,10.43
0.0297,10.57
0.0307,10.52
0.0317,10.71
0.0324,10.41
0.0335,10.51
0.0343,10.43
0.0351,10.64
0.0363,10.45
0.0376,10.72
0.0384,10.67
0.0394,10.84
0.0404,10.82
0.0411,10.86
0.0419,10.72
0.043,10.79
0.0442,10.86
0.0454,10.9
0.0465,10.93
0.0475,10.93
0.0483,10.94
0.0491,10.84
0.0499,10.67
0.0507,10.99
0.0513,11.06
0.0519,11.2
0.0528,11.45
0.0534,11.56
0.0542,11.24
0.0552,11.19
0.056,11.39
0.057,11.09
0.0581,10.84
0.0591,11
0.0605,11.12
0.0619,10.92
0.0627,10.92
0.0635,11.09
0.0643,10.76
0.0651,10.74
0.0661,10.77
0.0674,11.11
0.0689,11.35
0.0703,11.67
0.0715,11.91
0.0729,11.9
0.074,11.79
0.075,11.83
0.0766,12.09
0.0778,12.31
0.0786,12.68
0.0794,12.74
0.0806,12.65
0.0812,12.7
0.082,12.53
0.0832,12.07
0.0846,12.17
0.0856,12.29
0.0868,12.16
0.0879,12.06
0.0887,12.08
0.0895,12.23
0.0903,12.2
0.0911,12.14
0.0922,12.37
0.0932,12.85
0.0942,12.65
0.0951,12.71
0.0961,12.88
0.0969,12.85
0.0979,12.57
0.0988,12.77
0.0997,12.74
0.1009,12.85
0.1019,13.01
0.1027,13.06
0.1038,12.85
0.1052,12.91
0.1062,12.72
0.1072,12.53
0.1088,12.41
0.11,12.58
0.111,12.51
0.112,12.85
0.113,13.06
0.1137,13.24
0.1145,13.39
0.1155,13.16
0.1165,12.97
0.1175,13.39
0.1184,13.67
0.1192,13.77
0.1199,14.52
0.1205,15.51
0.1215,14.89
0.1224,15.07
0.1236,15.56
0.1245,14.27
0.1255,13.59
0.1263,13.31
0.1276,12.93
0.1286,11.84
0.1298,11.83
0.131,11.44
0.1324,10.73
0.1334,9.98
0.1344,9.91
0.1354,9.86
0.1368,9.63
0.1378,9.87
