AgeMa,CO2lower1s,CO2mean,CO2upper1s
0,279.9805053,326.6194397,386.4763331
0.4,261.881657,294.819084,342.7084852
0.8,242.5640107,266.6919006,309.5681043
1.2,214.7147785,264.2769235,350.8199928
1.6,206.0867215,260.8021598,362.0732985
2,227.6489971,290.6280829,404.2168447
2.4,250.8602288,320.6276765,442.9823097
2.8,253.3327325,317.9206003,432.3091479
3.2,283.5074721,318.4052754,361.2068097
3.6,289.01477,335.8286437,421.0897592
4,295.1051389,350.8897648,451.8235968
4.4,296.8803856,351.3023383,442.0013097
4.8,288.5215206,336.664484,422.2069552
5.2,288.3159049,354.0989347,470.7338487
5.6,286.4474616,365.4720065,503.1348847
6,279.5905355,358.6609419,487.1583483
6.4,272.7336093,351.8498773,471.1818119
6.8,271.5864839,353.3150956,482.7831527
7.2,272.3426255,357.5390748,503.5771193
7.6,272.9114535,359.2084354,513.7515038
8,272.9183408,353.2139396,492.0671421
8.4,272.9252282,347.2194439,470.3827804
8.8,263.342847,335.643778,456.639834
9.2,250.564043,322.207722,445.544026
9.6,242.8660619,317.2123177,449.1467046
10,250.4105495,337.5388684,496.844843
10.4,257.9550372,357.8654191,544.5429813
10.8,264.3758476,355.131841,518.4352099
11.2,270.422099,344.7115533,467.7254685
11.6,274.7472708,338.0331046,433.4073919
12,273.9092038,342.5801729,448.2643096
12.4,273.0711368,347.1272413,463.1212273
12.8,270.5500002,343.6004475,454.7969064
13.2,267.4678405,337.3823663,438.745506
13.6,278.4348689,345.7779856,437.9959794
14,331.5494615,398.0147061,483.1520738
14.4,384.6640541,450.2514267,528.3081682
14.8,387.6605603,453.0428712,534.4866348
15.2,373.9510378,439.352557,527.6725589
15.6,361.8787353,428.3087517,522.6679412
16,354.7180929,425.2044733,523.0916984
16.4,347.5574506,422.100195,523.5154556
16.8,323.301792,402.7888438,533.1011564
17.2,293.3477947,378.0751349,545.7408385
17.6,271.2556971,357.7482398,546.9468442
18,272.7492991,350.5817856,513.8518212
18.4,274.242901,343.4153315,480.7567982
18.8,295.164161,366.32345,495.073671
19.2,322.5613071,399.2564262,525.194509
19.6,342.5408649,422.6789511,545.3839312
20,340.2676579,417.5701222,535.7791058
20.4,337.9944509,412.4612933,526.1742804
20.8,330.5727544,409.5357028,528.6111443
21.2,321.4348948,407.3378583,535.0619047
21.6,322.7601048,413.5344319,549.2148975
22,355.4745242,444.9142594,586.4745873
22.4,388.1889435,476.2940869,623.7342772
22.8,364.574143,451.2363135,602.2894183
23.2,322.182936,407.3660065,561.2763765
23.6,299.4665776,388.3619487,543.3889356
24,335.7747653,443.9566381,594.8782976
24.4,372.0829531,499.5513276,646.3676595
24.8,383.2852701,522.8100311,706.1135384
25.2,386.1189636,535.2900726,768.6115895
25.6,394.6856704,544.4208393,802.2466219
26,420.4514172,543.5037815,749.292598
26.4,446.217164,542.5867237,696.3385741
26.8,465.3295757,563.5476991,709.0327469
27.2,482.2242091,591.8013522,743.6096521
27.6,495.6651073,613.2395698,775.7948034
28,498.7448002,614.2314807,800.8046932
28.4,501.824493,615.2233917,825.814583
28.8,603.2149551,702.9056345,914.9642847
29.2,737.3756736,819.4846546,1025.493924
29.6,818.8845141,894.4597425,1093.031402
30,742.4377208,844.6230335,1031.592396
30.4,665.9909276,794.7863245,970.1533898
30.8,596.2679911,728.5776477,913.5450749
31.2,528.7863401,656.9116483,858.5469903
31.6,489.2094263,612.344996,819.413705
